Animal Type,Animal Name,Speed_kmh,Weight_kg,Continent,Country,Lifespan,Migration,Reproduction,Threat Level
Fish,Herring,87,36,America,Russia,79,Yes,Eggs,Medium
Mammal,Leopard,2,239,America,India,13,Yes,Live,Medium
Insect,Moth,80,146,America,Germany,69,No,Live,High
Fish,Shark,64,79,Australia,Kenya,21,Yes,Live,Low
Mammal,Deer,49,274,Africa,USA,6,No,Eggs,Medium
Fish,Shark,117,237,Asia,Brazil,98,Yes,Live,Critical
Reptile,Viper,105,225,Australia,India,44,No,Eggs,Critical
Bird,Hawk,25,265,America,Brazil,17,No,Eggs,Critical
Reptile,MonitorLizard,107,293,Africa,Germany,48,Yes,Live,High
Insect,Ladybug,53,446,Europe,China,27,Yes,Eggs,Critical
Mammal,Giraffe,53,183,Europe,Kenya,71,Yes,Eggs,Low
Insect,Horsefly,120,421,Asia,Germany,75,Yes,Eggs,Critical
Bird,Swan,83,400,Asia,India,75,Yes,Eggs,Low
Bird,Swan,11,63,Australia,Canada,24,No,Eggs,Critical
Fish,Cod,28,347,Asia,Germany,41,No,Eggs,Low
Insect,Cricket,62,256,Asia,Australia,85,No,Eggs,High
Mammal,Rhino,24,499,Asia,Canada,48,No,Live,Medium
Mammal,Leopard,102,302,Africa,China,21,No,Eggs,Critical
Fish,Trout,20,371,Africa,Egypt,46,Yes,Eggs,Critical
Bird,Seagull,10,192,America,Egypt,56,No,Eggs,Medium
Fish,Salmon,73,79,Asia,Russia,96,No,Eggs,Low
Insect,Tick,77,272,Asia,USA,90,Yes,Live,Critical
Mammal,Koala,55,201,Europe,Kenya,98,Yes,Eggs,High
Bird,Crow,117,339,Asia,Canada,21,Yes,Live,Medium
Mammal,PolarBear,22,153,Australia,Egypt,82,No,Live,Low
Fish,Shark,87,109,America,Egypt,90,Yes,Live,High
Mammal,Rhino,51,281,Asia,Russia,60,No,Live,Critical
Mammal,Koala,46,425,America,Brazil,21,No,Eggs,Critical
Reptile,Rattlesnake,95,389,America,Russia,83,Yes,Live,Medium
Insect,Moth,48,409,Asia,India,64,No,Eggs,High
Reptile,Cobra,103,336,Africa,Russia,56,No,Live,Low
Reptile,Alligator,52,347,Asia,China,19,No,Eggs,High
Reptile,Gecko,86,247,Africa,Australia,79,Yes,Live,Medium
Reptile,Chameleon,22,253,Europe,Egypt,85,No,Live,Critical
Reptile,Tortoise,44,3,Europe,India,43,No,Eggs,Medium
Reptile,Boa,31,44,Africa,Russia,30,No,Live,Low
Bird,Parrot,47,307,Asia,China,10,Yes,Live,Low
Mammal,Horse,4,275,Australia,Australia,64,No,Live,Medium
Fish,Snapper,51,76,Australia,Germany,56,No,Eggs,Medium
Bird,Eagle,53,104,Europe,Canada,40,Yes,Live,Low
Mammal,Otter,88,380,Africa,Australia,96,Yes,Live,Low
Insect,Cockroach,92,141,Australia,Egypt,21,No,Live,Critical
Fish,Tuna,95,91,America,USA,37,No,Eggs,Low
Bird,Goose,33,247,Australia,Kenya,86,Yes,Eggs,Medium
Insect,Ant,72,166,Australia,China,22,Yes,Live,Critical
Bird,Pigeon,5,252,Africa,Russia,14,No,Live,Critical
Insect,Dragonfly,48,281,Europe,China,20,No,Live,Low
Bird,Eagle,53,209,Asia,Canada,4,Yes,Live,Critical
Insect,Cricket,120,418,Asia,Canada,93,No,Live,Critical
Bird,Seagull,23,300,Australia,Egypt,65,No,Eggs,Critical
Fish,Cod,6,43,Europe,China,6,No,Eggs,High
Insect,Moth,111,276,Australia,Germany,2,No,Eggs,Medium
Fish,Bass,101,138,Asia,India,57,Yes,Live,High
Reptile,Iguana,51,180,Asia,Egypt,41,Yes,Eggs,Medium
Insect,Cricket,51,359,Australia,Germany,52,No,Eggs,High
Mammal,Kangaroo,80,39,Australia,Germany,11,No,Live,Medium
Insect,Cockroach,105,342,Asia,Kenya,44,Yes,Eggs,Low
Fish,Guppy,83,250,Europe,China,80,No,Live,High
Insect,Ladybug,2,208,Africa,Kenya,70,No,Eggs,Low
Insect,Butterfly,52,320,Australia,Canada,12,No,Live,Medium
Reptile,Komodo,111,181,Africa,Egypt,89,Yes,Eggs,Low
Fish,Cod,67,110,Asia,China,85,No,Eggs,Critical
Insect,Horsefly,3,271,Asia,Kenya,41,No,Live,Medium
Mammal,Bison,50,499,Australia,Kenya,44,No,Eggs,Low
Mammal,Leopard,3,14,America,Russia,44,No,Live,Critical
Reptile,Caiman,92,79,Europe,China,32,No,Eggs,Critical
Bird,Eagle,91,495,Australia,Australia,61,Yes,Live,Low
Bird,Peafowl,63,233,Asia,Brazil,82,Yes,Eggs,Critical
Bird,Hawk,101,208,Europe,Germany,24,Yes,Live,Critical
Mammal,Otter,31,24,Asia,USA,37,Yes,Eggs,High
Fish,Anchovy,19,307,Africa,Canada,5,Yes,Eggs,High
Mammal,Rhino,117,278,Africa,India,22,No,Eggs,Low
Insect,Mosquito,94,463,Africa,Kenya,65,Yes,Live,High
Fish,Trout,73,307,Australia,Brazil,3,No,Eggs,Critical
Mammal,Giraffe,19,41,Africa,India,95,Yes,Eggs,Low
Mammal,Jaguar,113,172,Africa,Brazil,43,No,Eggs,Critical
Mammal,Elephant,9,393,Australia,Kenya,26,Yes,Live,Critical
Bird,Woodpecker,69,398,Australia,Australia,82,No,Live,Low
Reptile,Gecko,41,286,Europe,Brazil,51,No,Live,Critical
Reptile,Viper,50,200,Europe,China,85,No,Eggs,High
Bird,Seagull,97,58,Asia,Russia,77,Yes,Eggs,Low
Reptile,Python,83,398,Europe,Egypt,29,Yes,Live,Low
